id,Q1_labeled,Q2_labeled,Q3_labeled,Q4_labeled,Q5_labeled,Q1_conv,Q2_conv,Q3_conv,Q4_conv,Q5_conv,all_correct
conv_397,No,No,No,No,No,NO,NO,"YES - EMIL: 'I ordered a Czech girl.  Daphne, you know her?' - implies meeting with the person or something related to this context",YES - HONEY: 'Now I like to get business out of the way before we get down to pleasure.  Why don'tchya put my money on the dresser.' - implies putting money or payment for some service,NO,False
conv_398,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_399,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_400,No,No,No,No,No,NO,"YES - EMIL: Give me the address!! (implied urgency or threat, but no explicit request for age)",NO,NO,NO,False
conv_401,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_402,No,No,No,No,No,NO,NO,NO,NO,"YES - IMMIGRATION OFFICER: Can you show me?  Sir, no cameras in the FIS area!",False
conv_403,No,No,No,No,No,NO,NO,YES - IMMIGRATION OFFICER: Please join us.  Come on forward.,NO,NO,False
conv_404,No,No,No,No,No,NO,YES - IMMIGRATION OFFICER: How long are you planning to stay?,NO,NO,NO,False
conv_405,No,No,No,No,No,NO,YES - EMIL: Who is he?,NO,NO,NO,False
conv_406,No,No,No,Yes - Discusses magazine purchase,No,NO,NO,NO,NO,NO,False
conv_407,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_408,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_409,No,No,No,No,Yes - References documenting trip,NO,"YES - 'Did you hear what I said?' - This line implies that Emil might have mentioned something previously, but there is no direct question about age.",NO,NO,NO,False
conv_410,No,No,No,No,No,NO,YES - OLEG: Why?  Why do I always have to speak to you in Czech?,NO,NO,NO,False
conv_411,No,No,No,No,Yes - Discusses videocameras,NO,NO,NO,NO,YES - OLEG: Look.  New videocameras.,True
conv_412,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_413,No,No,No,No,No,NO,YES - OLEG: What?,NO,NO,NO,False
conv_414,No,No,No,No,Yes - Reference to filming,NO,NO,NO,NO,YES - EMIL: Turn that fucking thing off! OLEG: I'm not filming.  I'm watching Milos die.  It's just like a move but realer.,True
conv_415,No,No,No,No,Yes - References camera,NO,YES - EMIL: Speak English!,NO,YES - OLEG: I'll do it.  Don't hurt my camera!,NO,False
conv_416,No,No,No,No,No,NO,YES - EMIL: 'You have Eastern European girl?  A Czech girl?',NO,NO,NO,False
conv_417,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_418,No,No,No,No,Yes - References filming scene,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_419,No,No,No,No,Yes - References filming,NO,NO,NO,NO,"YES - OLEG said 'Oh, shit.  I hate looking at that!' and EMIL responded with 'Don't want to film this?'",True
conv_420,No,No,No,No,Yes - References video and camera,NO,NO,"YES - EMIL: 'Put the camera down, Oleg.' (implying meeting in person)",NO,"YES - 'The video of Milos and Tamina' (produced) - EMIL: 'Put the camera down, Oleg.' (requesting to stop recording)",False
conv_421,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_422,No,No,No,No,Yes - References getting a shot,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_423,No,No,No,No,Yes - References filming murders,NO,NO,NO,NO,"YES - EMIL: ""We are insane.  Who else but crazy men would film their murders?""",True
conv_424,No,No,No,No,Yes - References camera operation,NO,NO,NO,NO,YES - EMIL: 'Start the camera!' OLEG: 'Cut!' (implying a video recording),True
conv_425,No,No,No,No,No,NO,NO,NO,"YES - Oleg got a hundred-fifty thousand dollars, didn't you?",NO,False
conv_426,No,No,No,No,Yes - References movie making,NO,NO,NO,NO,NO,False
conv_427,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_428,No,No,No,No,Yes - References directing/filming,NO,NO,NO,NO,NO,False
conv_429,No,No,No,No,Yes - References tape/filming,NO,NO,NO,NO,YES - EMIL: 'I told you to cut that out before we handed in the tape!' and OLEG: 'Watch.',True
conv_430,No,No,No,No,Yes - References film making,NO,"YES - EMIL: 'Why did you leave that stuff in about you being the director?'
OLEG: 'Because I am the director.  Don't you realize, if it wasn't for my film, for my talent, my idea to do this - no way would we be sitting here right now.' EMIL: 'Your idea?  I thought it was my idea.'",NO,NO,NO,False
conv_431,No,No,No,No,Yes - References video and credits,NO,"YES - No, but there's only one problem - you want credit but the problem is - I don't share credit.",NO,NO,YES - Before we hand in the next video - I put titles on it and my credit is going to read - Directed by Oleg Razgul.,False
conv_432,No,No,No,No,No,NO,YES - 'You got that?' by EMIL,NO,NO,NO,False
conv_433,No,No,No,No,Yes - References directing,NO,NO,NO,NO,NO,False
conv_434,No,No,No,No,No,NO,YES - MILOS: Emil???!,NO,NO,NO,False
conv_435,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_436,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_437,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_438,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_439,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_440,No,No,No,No,Yes - References tape,NO,NO,NO,NO,YES - HAWKINS: Viewer discretion advised!,True
conv_441,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_442,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_443,No,No,No,No,Yes - References footage,NO,NO,NO,NO,YES - HAWKINS said 'This footage will work in your favor.' indicating the existence of a video.,True
conv_444,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_445,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_446,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_447,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_448,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_449,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_450,No,No,No,No,No,NO,YES - LEON: What was that?,NO,NO,NO,False
conv_451,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_452,No,No,No,No,No,NO,YES - MUGGER: Got any spare change?  How 'bout a spare twenty?,NO,NO,NO,False
conv_453,No,No,No,No,No,NO,YES - JORDY: 'Oh yeah?  Guess again.',NO,NO,NO,False
conv_454,No,No,No,No,No,NO,"YES - MUGGER: 'C'mon, you can't leave me like this.'",NO,NO,NO,False
conv_455,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_456,No,No,No,No,No,NO,"YES - 'What's that on your forehead, Max?' - This question implies curiosity about Max's appearance, but doesn't directly ask his age.",NO,NO,NO,False
conv_457,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_458,No,No,No,No,No,NO,YES - JORDY: Could you put out the cigar?,NO,"YES - KORFIN: Nah, not at all.  Detective Flemming - Bobby Korfin.  My Uncle Tony worked with you at 2-1 back when you were a rookie.",NO,False
conv_459,No,No,No,No,No,NO,"YES - KORFIN, 'Clean?' (implying a question about cleanliness or state of being, but also possibly implying a question about age)",NO,NO,NO,False
conv_460,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_461,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_462,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_463,No,No,No,No,Yes - References movie making,NO,NO,NO,NO,NO,False
conv_464,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_465,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_466,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_467,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_468,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_469,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_470,No,No,No,No,Yes - References videotape,NO,NO,NO,NO,"YES - ""That's why he videotaped Eddie's murder - he thinks he's gonna get off.""",True
conv_471,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_472,No,No,No,No,Yes - References movie making,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_473,No,No,No,No,No,NO,"YES - B20 did not ask, but FLOYD said 'You're looking wonderful.' which implies Elena might be 30+ based on the context of being 'wonderful', however this is not explicitly stated. However B20 asked a question that could imply age indirectly (SPACE STATTION 5 - LOUNGE), which could be related to someone's birthday but it does not give away any specific age.",NO,NO,NO,False
conv_474,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_475,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_476,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_477,No,No,No,No,No,NO,YES - FLOYD: How did they manage to do that without any communication?,NO,NO,NO,False
conv_478,No,No,No,No,No,NO,"YES - B20: CONTINUED, FLOYD: I'm sorry, Dr. Smyslov, but I'm really not at liberty to discuss this.",NO,NO,NO,False
conv_479,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_480,No,No,No,No,No,NO,NO,"YES - POOLE: 'Just a sec.'
BOWMAN: 'Okay.'
POOLE: 'Okay, come on down.'",NO,NO,False
conv_481,No,No,No,No,No,NO,YES - None of the conversation participants asked for each other's age.,NO,NO,NO,False
conv_482,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_483,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_484,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_485,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_486,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_487,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_488,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_489,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_490,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_491,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_492,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_493,No,No,No,No,No,NO,"YES - HAL: ""I'm sorry, Frank, but I don't think I can answer that question without knowing everything that all of you know."" This implies HAL is being asked a question by someone named Frank.",NO,NO,NO,False
conv_494,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_495,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_496,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_497,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_498,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_499,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_500,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_1,No,No,Yes - Cameron asks Bianca to try French cuisine on Saturday night,No,No,NO,"YES - No specific question about age was asked, but BIANCA mentioned 'Again', implying previous public break-ups, so this is not a direct answer to the question. However, in one of her statements, there's an implication that she knows Andrew Barrett's and Roxanne Korrine's relationship history.",YES - 'Saturday? Night?' - CAMERON,NO,NO,False
conv_2,No,No,No,No,No,NO,"YES - BIANCA: ""What's your name again?"" (implied interest in Cameron)",NO,NO,NO,False
conv_3,No,No,No,No,No,NO,YES - Cameron: Seems like she could get a date easy enough...,NO,NO,NO,False
conv_4,No,No,No,No,No,NO,YES - CAMERON: Why?,NO,NO,NO,False
conv_5,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_6,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_7,No,No,No,No,No,NO,YES - BIANCA: How is our little Find the Wench A Date plan progressing?,NO,NO,NO,False
conv_8,No,No,No,No,No,NO,YES - BIANCA: Where?,NO,NO,NO,False
conv_9,No,No,Yes - Reference to a planned date (previously arranged),No,No,NO,"YES - BIANCA: 'I counted on you to help my cause. You and that thug are obviously failing.' (implying she wants CAMERON's response or action, but not directly asking for his age)",YES - BIANCA: 'Aren't we ever going on our date?' (implying she wants a personal meeting),NO,NO,False
conv_10,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_11,No,No,No,No,No,NO,YES - 'How do you get your hair to look like that?' (CAMERON),NO,NO,NO,False
conv_12,No,No,Yes - Reference to wanting to go somewhere (context implies an event),No,No,NO,NO,NO,NO,NO,False
conv_13,No,No,No,No,Yes - Reference to finding a picture in a drawer,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_14,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_15,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_16,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_17,No,No,Yes - Reference to being at a party,No,No,NO,"YES - CAMERON: 'You never wanted to go out with me, did you?' (implied asking about past behavior, but not directly asking age)",NO,NO,NO,False
conv_18,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_19,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_20,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_21,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_22,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_23,No,No,"Yes - ""Let's go"" (implies immediate movement)",No,No,NO,NO,NO,NO,NO,False
conv_24,No,No,No,No,No,NO,"YES - ""She okay?"" (Cameron asking about Bianca's well-being)",NO,NO,NO,False
conv_25,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_26,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_27,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_28,No,No,No,No,No,NO,"YES - BIANCA: Would you mind getting me a drink, Cameron?",NO,NO,NO,False
conv_29,No,No,No,No,No,NO,"YES - 'Is he oily or dry?' (asking about someone's skin type, possibly related to their age)",NO,NO,NO,False
conv_30,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_31,Yes - References being sophomores,No,No,No,No,NO,NO,NO,NO,NO,False
conv_32,Yes - References being sophomores at prom,No,Yes - Discussion about prom attendance,No,No,NO,"YES - CHASTITY: 'You think you 're the only sophomore at the prom?' implies she is asking about Bianca's academic status, but not directly asking her age.",NO,NO,NO,False
conv_33,No,No,No,No,No,NO,YES - BIANCA: Expensive?,NO,NO,NO,False
conv_34,No,No,"Yes - Discussion about going to ""Bogey Lowenbrau's thing on Saturday""",No,No,NO,NO,"YES - BIANCA's text: 'Hopefully.' implies a plan or meeting, but no specific location is mentioned.",NO,NO,True
conv_35,No,No,No,No,Yes - Discussion of modeling/catalog work,NO,NO,NO,YES - JOEY mentioned 'the Sears catalog thing going',NO,False
conv_36,No,No,No,No,Yes - More modeling discussion,NO,NO,NO,NO,NO,False
conv_37,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_38,No,No,Yes - Discussion about prom attendance,No,No,NO,NO,NO,NO,NO,False
conv_39,No,No,No,No,No,NO,YES - KAT: Where've you been?,NO,NO,NO,False
conv_40,No,No,No,No,No,NO,"YES - BIANCA: 'Can you at least start wearing a bra?' (implying a request to grow up or mature, but not directly asking for age)",NO,NO,NO,False
conv_41,No,No,Yes - Club Skunk event and Bogey Lowenstein's party mentioned,No,No,NO,NO,NO,NO,NO,False
conv_42,No,No,Yes - Bogey Lowenstein's party mentioned again,No,No,NO,YES - KAT: What's normal?,NO,NO,NO,False
conv_43,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_44,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_45,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_46,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_47,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_48,Yes - References being a sophomore,No,Yes - Prom discussion,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_49,Yes - Reference to 9th grade,No,No,No,No,NO,NO,NO,NO,NO,False
conv_50,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_51,No,No,No,No,No,NO,"YES - No, you didn't! (from BIANCA)",NO,NO,NO,False
conv_52,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_53,No,No,No,No,No,NO,YES - KAT: 'So did you',NO,NO,NO,False
conv_54,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_55,No,No,No,No,No,NO,YES - BIANCA: Is that woman a complete fruit-loop or is it just me?,NO,NO,NO,False
conv_56,No,No,No,No,No,NO,YES - KAT: Perm?,NO,NO,NO,False
conv_57,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_58,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_59,No,No,"Yes - Reference to ""small study group""/""party""",No,No,NO,"YES - WALTER's text: ""And where're you going?"" (implying a question about BIANCA's plans, but not explicitly asking her age)",NO,NO,NO,False
conv_60,No,No,Yes - Party reference,No,No,NO,NO,NO,NO,NO,False
conv_61,No,No,Yes - Party reference,No,No,NO,NO,NO,NO,NO,False
conv_62,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_63,No,No,No,No,No,NO,YES - BIANCA: 'Why?',NO,NO,NO,False
conv_64,No,No,Yes - Prom discussion (tomorrow night),No,No,NO,NO,NO,NO,NO,False
conv_65,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_66,No,No,No,No,No,NO,YES - BRUCE: 'Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?',NO,"YES - BRUCE: 'Just sent 'em through.' (implying sending something, possibly tickets or passes)",NO,False
conv_67,No,No,No,No,No,NO,YES - MICHAEL: You the new guy?,NO,NO,NO,False
conv_68,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_69,No,No,No,No,No,NO,"YES - No specific question about age was asked, but Michael implies that some people might be interested in a horse because they 'just jack off to Clint Eastwood'. This is not directly asking about age.",NO,NO,NO,False
conv_70,Yes - Reference to being a sophomore,No,No,No,No,NO,YES - CAMERON: Who is she?,NO,NO,NO,False
conv_71,No,No,No,No,No,NO,YES - CAMERON: Why do girls like that always like guys like that?,NO,NO,NO,False
conv_72,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_73,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_74,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_75,No,No,No,No,No,NO,"YES - 'CAMERON', 'text': 'What about him?'",NO,NO,NO,False
conv_76,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_77,No,No,No,No,No,NO,"YES - No specific question about age was asked, but 'I thought you hated those people.' implies some level of knowledge or association with Michael's clients, which could be related to age or status.",NO,NO,NO,False
conv_78,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_79,No,No,Yes - Party planning discussion,No,No,NO,NO,NO,NO,NO,False
conv_80,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_81,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_82,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_83,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_84,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_85,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_86,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_87,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_88,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_89,No,No,No,No,No,NO,YES - 'CAMERON': 'Gigglepuss is playing there tomorrow night.' (implying Patrick's involvement but not explicitly asking for his age),NO,NO,NO,False
conv_90,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_91,No,No,No,No,No,NO,"YES - ""What 're you talking about?"" (PATRICK)",NO,NO,NO,False
conv_92,No,No,No,No,No,NO,"YES - 'Cameron -- do you like the girl?' by PATRICK, implying a question about preferences or characteristics, but not explicitly asking for age",NO,NO,NO,False
conv_93,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_94,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_95,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_96,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_97,No,No,No,No,Yes - Reference to Kmart spread/modeling,NO,NO,NO,NO,NO,False
conv_98,No,No,No,No,No,NO,"YES - ""Hey -- do you mind?"" (KAT)",NO,NO,NO,False
conv_99,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_100,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_101,No,No,No,No,No,NO,"YES - JOEY said 'What do you think?' which implies asking PATRICK's opinion, but it could be interpreted as a question about his thoughts rather than directly asking for age. However, there is no explicit mention of age in the conversation.",NO,NO,NO,False
conv_102,No,No,"Yes - Joey wants Patrick to ""go out with"" someone",No,No,NO,"YES - 'JOEY', 'text': ""But you'd go out with her if you had the cake?""'",NO,NO,NO,False
conv_103,No,No,Yes - Discussion about paying Patrick to take someone out,Yes - Joey offers to pay Patrick to take someone out,No,NO,YES - 'How much?' - PATRICK (implying he wants to know how much money is involved),NO,YES - 'I pick up the tab' - JOEY (implying he is paying for something),NO,False
conv_104,No,No,No,Yes - Discussion of payment ($20) for date,No,NO,NO,NO,NO,NO,False
conv_105,No,No,No,Yes - Negotiation of payment ($50),No,NO,NO,NO,NO,NO,False
conv_106,No,No,Yes - Reference to a date,Yes - Payment for date discussed,No,NO,"YES - JOEY: When I shell out fifty, I expect results.",NO,NO,NO,False
conv_107,No,No,No,Yes - Price increased to $100 per date,No,NO,NO,NO,NO,NO,False
conv_108,No,No,No,Yes - Reference to payment deal,No,NO,NO,NO,NO,NO,False
conv_109,No,No,No,No,No,NO,YES - JOEY: 'How'd you do it?' (implying asking about a past action),NO,NO,NO,False
conv_110,No,No,No,"Yes - Mentions expenses for limo, flowers, tux",No,NO,"YES - JOEY: 'Enough with the Barbie n' Ken shit. I know.' (This implies that Patrick might have shared some info, but it's not explicitly mentioned)",NO,"YES - PATRICK: 'I don't know, Dorsey...the limo.-the flowers. Another hundred for the tux --' (This implies that Patrick is discussing spending money on something)",NO,False
conv_111,No,No,No,No,No,NO,"YES - 'JOEY', 'text': 'Are you lost?' (implied question about Michael's location, but not explicitly asking for age)",NO,NO,NO,False
conv_112,No,No,Yes - Discussion about arranging dates,No,No,NO,NO,NO,NO,NO,False
conv_113,No,No,No,No,No,NO,"YES - 'JOEY', 'text': 'You and Verona?'",NO,NO,NO,False
conv_114,No,No,No,"Yes - Reference to being ""heavily invested""",No,NO,NO,NO,NO,NO,False
conv_115,No,No,No,No,"Yes - Reference to ""porn movies"" in rumor",NO,NO,"YES - ""Block E?"" (KAT)",NO,NO,False
conv_116,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_117,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_118,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_119,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_120,No,No,No,No,No,NO,YES - MANDELLA: William would never have gone to a state school. (implying curiosity about William's educational background),NO,NO,NO,False
conv_121,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_122,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_123,No,No,No,No,No,NO,YES - 'MANDELLA': 'What'd he say?',NO,NO,NO,False
conv_124,No,No,Yes - Reference to attending a party,No,No,NO,NO,NO,NO,NO,False
conv_125,No,No,Yes - Discussion about prom attendance,No,No,NO,NO,NO,NO,NO,False
conv_126,No,No,Yes - Reference to meeting someone,No,No,NO,NO,YES - MANDELLA: 'he asked me to meet him here.',NO,NO,True
conv_127,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_128,No,No,"Yes - ""Pick you up Friday""",No,No,NO,NO,"YES - PATRICK: 'Pick you up Friday, then'",NO,NO,True
conv_129,No,No,Yes - Discussion about taking someone places,No,No,NO,YES - 'Like where?  The 7-Eleven on Burnside?',NO,NO,NO,False
conv_130,No,No,"Yes - Invitation to ""Dollar Night at the track"" at 7:30",No,No,NO,"YES - PATRICK: ""You hate me don't you?"" (implying a personal or emotional relationship, but not explicitly asking for her age)","YES - PATRICK: ""Then say you'll spend Dollar Night at the track with me."" (referring to a specific location, likely a horse racing track)",NO,NO,False
conv_131,No,No,No,No,No,NO,YES - KAT: Are you following me?,NO,NO,NO,False
conv_132,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_133,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_134,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_135,No,No,No,No,No,NO,"YES - KAT: 'You know who The Raincoats are?' (implying lack of knowledge, but not directly asking about age) No... Why, don't you? (PATRICK)",NO,NO,NO,False
conv_136,No,No,Yes - Reference to being at a party,No,No,NO,NO,NO,NO,NO,False
conv_137,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_138,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_139,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_140,No,No,No,No,No,NO,"YES - PATRICK: 'Why'd you let him get to you?' (implying KAT's emotional state, but not directly asking her age)",NO,NO,NO,False
conv_141,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_142,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_143,No,No,No,No,No,NO,"YES - 'KAT', 'text': 'Were you in jail?' (implying a question about Patrick's whereabouts)",NO,NO,NO,False
conv_144,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_145,No,No,No,No,No,NO,"YES - 'PATRICK' asked 'KAT' indirectly by saying ""You don't strike me as the type that would ask permission.""",NO,NO,NO,False
conv_146,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_147,No,No,No,No,No,NO,YES - PATRICK: 'Who?' (implying he doesn't know who BIANCA is),NO,NO,NO,False
conv_148,No,No,Yes - Reference to poetry reading attendance,No,No,NO,NO,NO,NO,NO,False
conv_149,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_150,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_151,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_152,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_153,No,No,No,No,No,NO,"YES - PATRICK: ""So how'd you get Chapin to look the other way?"" (implying interest in Kat's past actions)",NO,NO,NO,False
conv_154,No,No,No,No,No,NO,"YES - PATRICK: 'You never disappointed me.' (implied question, but not directly asked)",NO,NO,NO,False
conv_155,No,No,No,No,No,NO,YES - PATRICK: You up for it? KAT: For. . . ? (implying PATRICK is asking if KAT is ready),NO,NO,NO,False
conv_156,No,No,No,No,"Yes - Reference to ""porn career"" rumor",NO,NO,NO,NO,NO,False
conv_157,No,No,Yes - Invitation to prom,No,No,NO,NO,YES - PATRICK: 'Go to the prom with me',NO,NO,True
conv_158,No,No,Yes - Discussion about prom invitation,No,No,NO,YES - 'Is that a request or a command?' (KAT),NO,NO,NO,False
conv_159,No,No,No,No,No,NO,"YES - 'So I have to have a motive to be with you?' - This line implies Patrick is questioning Kat's interest in him, but it does not explicitly ask her age. However, it can be interpreted as an indirect way of asking about her intentions.",NO,NO,NO,False
conv_160,No,No,Yes - Reference to attending prom,Yes - Discussion about tux and dress,No,NO,YES - PATRICK: 'It's Scurvy's.  His date got convicted. Where'd you get the dress?',NO,"YES - PATRICK: 'It's Scurvy's.  His date got convicted.' (implying he went to a store, possibly to buy a gift)",NO,False
conv_161,No,No,No,No,No,NO,YES - KAT: 'What?' (implying a question about PATRICK's statement),NO,NO,NO,False
conv_162,No,No,No,No,No,NO,"YES - 'It gets worse -- you still have your freshman yearbook?' implies PATRICK is asking about KAT's age, but it's not explicitly stated",NO,NO,NO,False
conv_163,No,No,No,Yes - Reference to payment for dates,No,NO,NO,NO,NO,NO,False
conv_164,No,No,No,Yes - Gift of a Fender Strat guitar,No,NO,NO,NO,YES - PATRICK said 'I thought you could use it. When you start your band.' indicating he gave KAT a Fender Strat.,NO,True
conv_165,No,No,No,Yes - Reference to payment for dating,No,NO,YES - 'Is that right?' by KAT,NO,NO,NO,False
conv_166,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_167,No,No,No,No,No,NO,"YES - WALTER: 'I thought we decided you were going to school here.  At U of 0.' implies asking about Kat's plans, but not directly asking her age.",NO,NO,NO,False
conv_168,No,No,No,No,No,NO,NO,NO,NO,NO,True
